;SIF;SIF_ic;D_competitor;S_competitor;D_family;S_family;D_genus;S_genus;p_distance;mass_ratio;D_mass;S_mass;D_diet;S_diet;diet_dist;Lon;Lat;Lat_abs;Continent;Country;Locality;Label;Samp_dur;N_statioins;Effort;Avg_dist;S_area
1;1;NA;Canis latrans;Vulpes macrotis;Canidae;Canidae;Canis;Vulpes;NA;1.666223758;11050;2088;Omnivore;Omnivore;Same_diet;-103.73431;26.68507;26.68507;Central/North America;Mexico;RBM;Andrade-Ponce_2020;4;60;1762;1;NA
2;1.115;1.011-1.787;Panthera onca;Puma concolor;Felidae;Felidae;Panthera;Puma;0.109112475;0.525098283;81150;48000;Carnivore;Carnivore;Same_diet;-42.5416665;-8.666667;8.666667;South America;Brazil;Serra da Capivara National Park;Astete_2017;14;58;15205;3.22;1291.4
3;1;0.96-0.104;Leopardus colocolo;Leopardus guigna;Felidae;Felidae;Leopardus;Leopardus;0.06888319;0.29334781;2950;2200;Carnivore;Carnivore;Same_diet;-71.15;-32.916667;32.916667;South America;Chile;LCPBR_spatial;Beltrami_2021;6;40;NA;2;240
4;1;NA;Leopardus colocolo;Leopardus guigna;Felidae;Felidae;Leopardus;Leopardus;0.06888319;0.29334781;2950;2200;Carnivore;Carnivore;Same_diet;-71.15;-32.916667;32.916667;South America;Chile;LCPBR_spatial;Beltrami_2021;6;40;NA;2;240
5;0.63;0.60-0.66;Leopardus colocolo;Leopardus guigna;Felidae;Felidae;Leopardus;Leopardus;0.06888319;0.29334781;2950;2200;Carnivore;Carnivore;Same_diet;-71.15;-32.916667;32.916667;South America;Chile;LCPBR_spatial;Beltrami_2021;6;40;NA;2;240
6;1.32;0.32;Puma concolor;Canis latrans;Felidae;Canidae;Puma;Canis;0.18174236;1.468770583;48000;11050;Carnivore;Omnivore;Diff_diet;-100.666667;33.75;33.75;Central/North America;United States;SANWR;Bender_2017;15;40;NA;3;231.54
7;1.38;0.32;Canis latrans;Lynx rufus;Canidae;Felidae;Canis;Lynx;0.18335724;0.161720739;11050;9400;Omnivore;Carnivore;Diff_diet;-100.666667;33.75;33.75;Central/North America;United States;SANWR;Bender_2017;15;40;NA;3;231.54
8;1.54;0.32;Puma concolor;Lynx rufus;Felidae;Felidae;Puma;Lynx;0.08207649;1.630491322;48000;9400;Carnivore;Carnivore;Same_diet;-100.666667;33.75;33.75;Central/North America;United States;SANWR;Bender_2017;15;40;NA;3;231.54
9;1;NA;Puma concolor;Eira barbara;Felidae;Mustelidae;Puma;Eira;NA;2.451716101;48000;4134.99;Carnivore;Omnivore;Diff_diet;-47.433023;-20.235535;20.235535;South America;Brazil;FBJSP;Bianchi_2021;8;57;7267.5;1;48.15
10;1.47;1.02-2.12;Leopardus pardalis;Herpailurus yagouaroundi;Felidae;Felidae;Leopardus;Herpailurus;0.09806851;0.405465108;10500;7000;Carnivore;Carnivore;Same_diet;-73.666667;7.45;7.45;South America;Colombia;Magdalena_River_valley;Boron_2020;5;47;NA;1.6;154.8
11;0.91;0.26-3.21;Panthera onca;Herpailurus yagouaroundi;Felidae;Felidae;Panthera;Herpailurus;0.110391895;2.450389145;81150;7000;Carnivore;Carnivore;Same_diet;-73.666667;7.45;7.45;South America;Colombia;Magdalena_River_valley;Boron_2020;5;47;NA;1.6;154.8
12;2.05;1.03-4.07;Puma concolor;Herpailurus yagouaroundi;Felidae;Felidae;Puma;Herpailurus;0.07460275;1.925290862;48000;7000;Carnivore;Carnivore;Same_diet;-73.666667;7.45;7.45;South America;Colombia;Magdalena_River_valley;Boron_2020;5;47;NA;1.6;154.8
