"","SIF","SIF_ic","Pred_sp","Prey_sp","Pred_family","Prey_family","Pred_genus","Prey_genus","mass_ratio","Pred_mass","Predmass_cat","Prey_mass","Preymass_cat","P_hunt","Pred_diet","Prey_diet","Lon","Lat","Lat_abs","Continent","Country","Locality","Label","Samp_dur","N_statioins","Effort","Avg_dist","S_area","Pred_evidence","Hunt_source"
"1",0.611764841,"img","Canis latrans","Odocoileus virginianus","Canidae","Cervidae","Canis","Odocoileus",-1.7768678401385,11050,"Medium-Large",65320,"Large","pursuit","Omnivore","Herbivore",NA,NA,NA,"Central/North America","United States","Hunt","Kellner_2022",0.69,813,18225,NA,15291,"Yes","Hirt_2020"
"2",2.264079609,"img","Canis latrans","Odocoileus virginianus","Canidae","Cervidae","Canis","Odocoileus",-1.7768678401385,11050,"Medium-Large",65320,"Large","pursuit","Omnivore","Herbivore",NA,NA,NA,"Central/North America","United States","Nhunt","Kellner_2022",0.69,1169,54146,NA,927,"Yes","Hirt_2020"
"3",0.47257384,NA,"Canis lupus","Capra sibirica","Canidae","Bovidae","Canis","Capra",-1.03894624378684,29190.755,"Large",82500,"Large","group","Carnivore","Herbivore",90.72,48.21,48.21,"Asia","Mongolia","Sa_general","Salvatori_2021",11.6,216,14267.5,NA,3186,"Yes","Hirt_2020"
"4",1.12,NA,"Canis lupus","Rangifer tarandus","Canidae","Cervidae","Canis","Rangifer",-1.24374065643285,29190.755,"Large",101250,"Large","group","Carnivore","Herbivore",-146.668413,63.823648,63.823648,"Central/North America","United States","Alaska","Dertien_2020",15,54,19199,"0.5",201,"Yes","Hirt_2020"
"5",1,NA,"Canis lupus","Ovis dalli","Canidae","Bovidae","Canis","Ovis",-0.877412639748151,29190.755,"Large",70194.13,"Large","group","Carnivore","Herbivore",-146.668413,63.823648,63.823648,"Central/North America","United States","Alaska","Dertien_2020",15,54,19199,"0.5",201,"Yes","Hirt_2020"
"6",0.86,"0.17","Cryptoprocta ferox","Eulemur albifrons","Eupleridae","Lemuridae","Cryptoprocta","Eulemur",1.36492845689407,9500,"Medium-Large",2426.29,"Small-Medium","pursuit","Carnivore","Herbivore",49.535001,-15.412767,15.412767,"Africa","Madagascar","Mazoala-Makira_Landscape_Continuous","Farris_2014",NA,NA,NA,"0.5",NA,"Yes","L<fc>hrs_2010_An unusual case of cooperative hunting in a solitary carnivore"
"7",0.84,"0.14","Cryptoprocta ferox","Microcebus rufus","Eupleridae","Cheirogaleidae","Cryptoprocta","Microcebus",4.95584811045445,9500,"Medium-Large",66.9,"Small","pursuit","Carnivore","Omnivore",49.535001,-15.412767,15.412767,"Africa","Madagascar","Mazoala-Makira_Landscape_Continuous","Farris_2014",NA,NA,NA,"0.5",NA,"Yes","L<fc>hrs_2010_An unusual case of cooperative hunting in a solitary carnivore"
"8",1.01,"0.06","Cryptoprocta ferox","Avahi laniger","Eupleridae","Indriidae","Cryptoprocta","Avahi",2.16204084800174,9500,"Medium-Large",1093.355,"Small","pursuit","Carnivore","Herbivore",49.535001,-15.412767,15.412767,"Africa","Madagascar","Mazoala-Makira_Landscape_Continuous","Farris_2014",NA,NA,NA,"0.5",NA,"Yes","L<fc>hrs_2010_An unusual case of cooperative hunting in a solitary carnivore"
"9",0.48,"0.32","Cryptoprocta ferox","Eulemur albifrons","Eupleridae","Lemuridae","Cryptoprocta","Eulemur",1.36492845689407,9500,"Medium-Large",2426.29,"Small-Medium","pursuit","Carnivore","Herbivore",49.535001,-15.412767,15.412767,"Africa","Madagascar","Mazoala-Makira_Landscape_Fragmented","Farris_2014",NA,NA,NA,"0.5",NA,"Yes","L<fc>hrs_2010_An unusual case of cooperative hunting in a solitary carnivore"
"10",0.97,"0.11","Cryptoprocta ferox","Microcebus rufus","Eupleridae","Cheirogaleidae","Cryptoprocta","Microcebus",4.95584811045445,9500,"Medium-Large",66.9,"Small","pursuit","Carnivore","Omnivore",49.535001,-15.412767,15.412767,"Africa","Madagascar","Mazoala-Makira_Landscape_Fragmented","Farris_2014",NA,NA,NA,"0.5",NA,"Yes","L<fc>hrs_2010_An unusual case of cooperative hunting in a solitary carnivore"
"11",1.05,"0.13","Cryptoprocta ferox","Avahi laniger","Eupleridae","Indriidae","Cryptoprocta","Avahi",2.16204084800174,9500,"Medium-Large",1093.355,"Small","pursuit","Carnivore","Herbivore",49.535001,-15.412767,15.412767,"Africa","Madagascar","Mazoala-Makira_Landscape_Fragmented","Farris_2014",NA,NA,NA,"0.5",NA,"Yes","L<fc>hrs_2010_An unusual case of cooperative hunting in a solitary carnivore"
"12",0.52,"0.22","Felis silvestris","Setifer setosus","Felidae","Tenrecidae","Felis","Setifer",2.80708513931201,5036.54,"Medium-Large",304.11,"Small","ambush","Carnivore","Omnivore",49.861935,-15.401923,15.401923,"Africa","Madagascar","M1","Murphy_2018",36,148,NA,"0.5",1776,"Yes","Hirt_2020_Rethinking trophic niches: Speed and body mass colimit prey space of mammalian predators"
"13",0.48,"0.2","Galidia elegans","Microcebus rufus","Eupleridae","Cheirogaleidae","Galidia","Microcebus",2.48141276053374,800,"Small",66.9,"Small","ambush","Carnivore","Omnivore",49.535001,-15.412767,15.412767,"Africa","Madagascar","Mazoala-Makira_Landscape_Continuous","Farris_2014",NA,NA,NA,"0.5",NA,"Yes","Kasprak_2008_Predation on the brown mouse lemur (Microcebus rufus) by a diurnal carnivore, the ring-tailed mongoose (Galidia elegans)"
"14",0.85,"0.16","Galidia elegans","Avahi laniger","Eupleridae","Indriidae","Galidia","Avahi",-0.312394501918968,800,"Small",1093.355,"Small","ambush","Carnivore","Herbivore",49.535001,-15.412767,15.412767,"Africa","Madagascar","Mazoala-Makira_Landscape_Continuous","Farris_2014",NA,NA,NA,"0.5",NA,"Yes","Kasprak_2008_Predation on the brown mouse lemur (Microcebus rufus) by a diurnal carnivore, the ring-tailed mongoose (Galidia elegans)"
"15",0.73,"0.37","Galidia elegans","Microcebus rufus","Eupleridae","Cheirogaleidae","Galidia","Microcebus",2.48141276053374,800,"Small",66.9,"Small","ambush","Carnivore","Omnivore",49.535001,-15.412767,15.412767,"Africa","Madagascar","Mazoala-Makira_Landscape_Fragmented","Farris_2014",NA,NA,NA,"0.5",NA,"Yes","Kasprak_2008_Predation on the brown mouse lemur (Microcebus rufus) by a diurnal carnivore, the ring-tailed mongoose (Galidia elegans)"
"16",1.14,"0.18","Galidia elegans","Avahi laniger","Eupleridae","Indriidae","Galidia","Avahi",-0.312394501918968,800,"Small",1093.355,"Small","ambush","Carnivore","Herbivore",49.535001,-15.412767,15.412767,"Africa","Madagascar","Mazoala-Makira_Landscape_Fragmented","Farris_2014",NA,NA,NA,"0.5",NA,"Yes","Kasprak_2008_Predation on the brown mouse lemur (Microcebus rufus) by a diurnal carnivore, the ring-tailed mongoose (Galidia elegans)"
"17",1,NA,"Leopardus geoffroyi","Lepus europaeus","Felidae","Leporidae","Leopardus","Lepus",0.08519575350466,4000,"Small-Medium",3673.33,"Small-Medium","ambush","Carnivore","Herbivore",-71.503068,-41.233655,41.233655,"South America","Argentina","Nahuel Huapi National Park","Gantchoff_2016",6,80,1680,"1",NA,"Yes","Branch_1995_Observations of predation by pumas and Geoffroy's cats on the plains vizcacha in semi-arid scrub of central Argentina"
"18",1,NA,"Lycalopex culpaeus","Lepus europaeus","Canidae","Leporidae","Lycalopex","Lepus",1.26385074984631,13000,"Medium-Large",3673.33,"Small-Medium","pursuit","Carnivore","Herbivore",-71.503068,-41.233655,41.233655,"South America","Argentina","Nahuel Huapi National Park","Gantchoff_2016",6,80,1680,"1",NA,"Yes","Silva_2021_History of canids in Chile and impacts on prey adaptations"
"19",0.8727,"0.33","Panthera pardus","Capreolus capreolus","Felidae","Cervidae","Panthera","Capreolus",0.895930086001988,53074.995,"Large",21666.685,"Large","ambush","Carnivore","Herbivore",113.333333,37.391667,37.391667,"Asia","China","Shanxi Tieqiaoshan_captive","Luo_2020",3,62,12190,"4",NA,"Yes","Hirt_2020_Rethinking trophic niches: Speed and body mass colimit prey space of mammalian predators"
"20",0.9556,"0.24","Panthera pardus","Capreolus capreolus","Felidae","Cervidae","Panthera","Capreolus",0.895930086001988,53074.995,"Large",21666.685,"Large","ambush","Carnivore","Herbivore",113.333333,37.391667,37.391667,"Asia","China","Shanxi Tieqiaoshan_free","Luo_2020",3,62,12190,"4",NA,"Yes","Hirt_2020_Rethinking trophic niches: Speed and body mass colimit prey space of mammalian predators"
"21",0.8859,"0.1148","Panthera pardus","Sus scrofa","Felidae","Suidae","Panthera","Sus",-0.933568865055426,53074.995,"Large",135000,"Large","ambush","Carnivore","Herbivore",113.333333,37.391667,37.391667,"Asia","China","Shanxi Tieqiaoshan_captive","Luo_2020",3,62,12190,"4",NA,"Yes","Hirt_2020_Rethinking trophic niches: Speed and body mass colimit prey space of mammalian predators"
"22",0.9916,"0.2308","Panthera pardus","Sus scrofa","Felidae","Suidae","Panthera","Sus",-0.933568865055426,53074.995,"Large",135000,"Large","ambush","Carnivore","Herbivore",113.333333,37.391667,37.391667,"Asia","China","Shanxi Tieqiaoshan_free","Luo_2020",3,62,12190,"4",NA,"Yes","Hirt_2020_Rethinking trophic niches: Speed and body mass colimit prey space of mammalian predators"
"23",4.655660377,NA,"Panthera uncia","Capra sibirica","Felidae","Bovidae","Panthera","Capra",-0.545511181753881,47812.5,"Large",82500,"Large","ambush","Carnivore","Herbivore",90.72,48.21,48.21,"Asia","Mongolia","Sa_general","Salvatori_2021",11.6,216,14267.5,NA,3186,"Yes","Jackson_&_Junter_1996_Snow Leopard Survey and Conservation Handbook"
