;Ov_coeff;Ov_ic;D_competitor;S_competitor;D_family;S_family;D_genus;S_genus;p_distance;mass_ratio;D_mass;S_mass;D_diet;S_diet;diet_dist;Lon;Lat;Lat_abs;Continent;Country;Locality;Label;Samp_dur;N_statioins;Effort;Avg_dist;S_area
1;0.88;0.82-0.94;Canis lupus;Lynx lynx;Canidae;Felidae;Canis;Lynx;0.182011195;0.322212144;29190.755;21150;Carnivore;Carnivore;Same_diet;32.43988;40.535206;40.535206;Asia;Turkey;Ankara;Akbaba_2021;23;24;2687;2.5;650
2;0.83;0.75-0.90;Ursus arctos;Lynx lynx;Ursidae;Felidae;Ursus;Lynx;0.18752216;2.431080184;240500;21150;Herbivore;Carnivore;Diff_diet;32.43988;40.535206;40.535206;Asia;Turkey;Ankara;Akbaba_2021;23;24;2687;2.5;650
3;0.62;0.50-0.73;Lynx lynx;Meles meles;Felidae;Mustelidae;Lynx;Meles;0.17722057;0.576444423;21150;11884.03;Carnivore;Omnivore;Diff_diet;32.43988;40.535206;40.535206;Asia;Turkey;Ankara;Akbaba_2021;23;24;2687;2.5;650
4;0.87;0.80-0.93;Lynx lynx;Vulpes vulpes;Felidae;Canidae;Lynx;Vulpes;0.18322068;1.026087129;21150;7580.3;Carnivore;Carnivore;Same_diet;32.43988;40.535206;40.535206;Asia;Turkey;Ankara;Akbaba_2021;23;24;2687;2.5;650
5;0.85;0.80-0.95;Panthera uncia;Lynx lynx;Felidae;Felidae;Panthera;Lynx;0.11500135;0.815647206;47812.5;21150;Carnivore;Carnivore;Same_diet;102.762939;37.309263;37.309263;Asia;China;Qilianshan National Nature Reserve;Alexander_2016;15;72;8498;NA;480
6;0.72;0.61-0.78;Panthera uncia;Vulpes vulpes;Felidae;Canidae;Panthera;Vulpes;0.18537479;1.841734335;47812.5;7580.3;Carnivore;Carnivore;Same_diet;102.762939;37.309263;37.309263;Asia;China;Qilianshan National Nature Reserve;Alexander_2016;15;72;8498;NA;480
7;0.85;NA;Crocuta crocuta;Mellivora capensis;Hyaenidae;Mustelidae;Crocuta;Mellivora;0.20772958;1.840549633;63000;10000;Carnivore;Omnivore;Diff_diet;34.656423;-2.007921;2.007921;Africa;Tanzania;Serengeti_National_Park;Allen_2018;34;224;98644;0.25;NA
8;0.82;NA;Panthera pardus;Mellivora capensis;Felidae;Mustelidae;Panthera;Mellivora;0.20250158;1.66912082;53074.995;10000;Carnivore;Omnivore;Diff_diet;34.656423;-2.007921;2.007921;Africa;Tanzania;Serengeti_National_Park;Allen_2018;34;224;98644;0.25;NA
9;0.18;0.03-0.35;Panthera tigris;Arctictis binturong;Felidae;Viverridae;Panthera;Arctictis;0.15826123;2.293312225;128800;12999.99;Carnivore;Omnivore;Diff_diet;104.351245;-5.444372;5.444372;Asia;Indonesia;BBNP;Allen_2020;28;60;11896;2;128.43
10;0.41;0.23-0.60;Panthera tigris;Catopuma temminckii;Felidae;Felidae;Panthera;Catopuma;0.114499295;2.415913778;128800;11500;Carnivore;Carnivore;Same_diet;104.351245;-5.444372;5.444372;Asia;Indonesia;BBNP;Allen_2020;28;60;11896;2;128.43
