"","Ov_coeff","Ov_ic","Pred_sp","Prey_sp","Pred_family","Prey_family","Pred_genus","Prey_genus","mass_ratio","Pred_mass","Predmass_cat","P_hunt","Prey_mass","Preymass_cat","Pred_diet","Prey_diet","Lon","Lat","Lat_abs","Continent","Country","Locality","Label","Samp_dur","N_statioins","Effort","Avg_dist","S_area","Pred_evidence","Hunt_source"
"1",0.57,"0.5-0.6","Bassariscus astutus","Sylvilagus floridanus","Procyonidae","Leporidae","Bassariscus","Sylvilagus",-0.154006450689329,1010.37,"Small","pursuit",1178.595,"Small","Omnivore","Herbivore",-99.176726,19.314318,19.314318,"Central/North America","Mexico","REPSA","Coronel-Arellano_2021",11,11,NA,NA,1693,"Yes","Poglayen-Neuwall, I., & Toweill, D. E. (1988). Bassariscus astutus. Mammalian Species, (327), 1-8."
"2",0.49,"0.02-0.09","Bassariscus astutus","Otospermophilus variegatus","Procyonidae","Sciuridae","Bassariscus","Otospermophilus",0.421251641353146,1010.37,"Small","pursuit",663.03,"Small","Omnivore","Herbivore",-99.176726,19.314318,19.314318,"Central/North America","Mexico","REPSA","Coronel-Arellano_2021",11,11,NA,NA,1693,"Yes","Poglayen-Neuwall, I., & Toweill, D. E. (1988). Bassariscus astutus. Mammalian Species, (327), 1-8."
"3",0.81,"0,66-0,90","Canis aureus","Sus scrofa","Canidae","Suidae","Canis","Sus",-2.50737950564006,11000,"Medium-Large","pursuit",135000,"Large","Carnivore","Herbivore",91.45,24.120833,24.120833,"Asia","Bangladesh","SNP","Zakir_2021",3.22,12,587,"0.65",2.43,"Yes","Lanszki, J., Heltai, M., & Szab<f3>, L. (2006). Feeding habits and trophic niche overlap between sympatric golden jackal (Canis aureus) and red fox (Vulpes vulpes) in the Pannonian ecoregion (Hungary). Canadian Journal of Zoology, 84(11), 1647-1656."
"4",0.45,"0,32-0,59","Canis aureus","Muntiacus muntjak","Canidae","Cervidae","Canis","Muntiacus",-0.47066193524206,11000,"Medium-Large","pursuit",17611.59,"Large","Carnivore","Herbivore",91.45,24.120833,24.120833,"Asia","Bangladesh","SNP","Zakir_2021",3.22,12,587,"0.65",2.43,"Yes","Lanszki, J., Heltai, M., & Szab<f3>, L. (2006). Feeding habits and trophic niche overlap between sympatric golden jackal (Canis aureus) and red fox (Vulpes vulpes) in the Pannonian ecoregion (Hungary). Canadian Journal of Zoology, 84(11), 1647-1656."
"5",0.1,"0,04-0,17","Canis aureus","Macaca mulatta","Canidae","Cercopithecidae","Canis","Macaca",0.508706658238769,11000,"Medium-Large","pursuit",6614,"Medium-Large","Carnivore","Herbivore",91.45,24.120833,24.120833,"Asia","Bangladesh","SNP","Zakir_2021",3.22,12,587,"0.65",2.43,"No","Lanszki, J., Heltai, M., & Szab<f3>, L. (2006). Feeding habits and trophic niche overlap between sympatric golden jackal (Canis aureus) and red fox (Vulpes vulpes) in the Pannonian ecoregion (Hungary). Canadian Journal of Zoology, 84(11), 1647-1656."
"6",0.09,"0,04-0,16","Canis aureus","Macaca leonina","Canidae","Cercopithecidae","Canis","Macaca",0.369301072326408,11000,"Medium-Large","pursuit",7603.39,"Medium-Large","Carnivore","Herbivore",91.45,24.120833,24.120833,"Asia","Bangladesh","SNP","Zakir_2021",3.22,12,587,"0.65",2.43,"No","Lanszki, J., Heltai, M., & Szab<f3>, L. (2006). Feeding habits and trophic niche overlap between sympatric golden jackal (Canis aureus) and red fox (Vulpes vulpes) in the Pannonian ecoregion (Hungary). Canadian Journal of Zoology, 84(11), 1647-1656."
"7",0.72,"0,53-0,86","Canis aureus","Hystrix brachyura","Canidae","Hystricidae","Canis","Hystrix",0.318453731118535,11000,"Medium-Large","pursuit",8000,"Medium-Large","Carnivore","Herbivore",91.45,24.120833,24.120833,"Asia","Bangladesh","SNP","Zakir_2021",3.22,12,587,"0.65",2.43,"No","Lanszki, J., Heltai, M., & Szab<f3>, L. (2006). Feeding habits and trophic niche overlap between sympatric golden jackal (Canis aureus) and red fox (Vulpes vulpes) in the Pannonian ecoregion (Hungary). Canadian Journal of Zoology, 84(11), 1647-1656."
"8",0.8,"0.58-0.88","Canis dingo","Onychogalea fraenata",NA,"Macropodidae",NA,"Onychogalea",NA,NA,"Large","group",5226.025,"Medium-Large",NA,"Herbivore",149.183175,-22.563656,22.563656,"Oceania","Australia","Tauton National Park_dry","Wang_2012",NA,41,NA,"0.5",NA,"Yes","Vernes, K., Dennis, A., & Winter, J. (2001). Mammalian diet and broad hunting strategy of the dingo (Canis familiaris dingo) in the wet tropical rain forests of northeastern Australia 1. Biotropica, 33(2), 339-345."
"9",0.8,"0.68-0.87","Canis dingo","Macropus giganteus",NA,"Macropodidae",NA,"Macropus",NA,NA,"Large","group",41454.945,"Large",NA,"Herbivore",149.183175,-22.563656,22.563656,"Oceania","Australia","Tauton National Park_dry","Wang_2012",NA,41,NA,"0.5",NA,"Yes","Vernes, K., Dennis, A., & Winter, J. (2001). Mammalian diet and broad hunting strategy of the dingo (Canis familiaris dingo) in the wet tropical rain forests of northeastern Australia 1. Biotropica, 33(2), 339-345."
"10",0.85,"0.74-0.87","Canis dingo","Macropus dorsalis",NA,"Macropodidae",NA,"Macropus",NA,NA,"Large","group",11249.96,"Medium-Large",NA,"Herbivore",149.183175,-22.563656,22.563656,"Oceania","Australia","Tauton National Park_dry","Wang_2012",NA,41,NA,"0.5",NA,"Yes","Vernes, K., Dennis, A., & Winter, J. (2001). Mammalian diet and broad hunting strategy of the dingo (Canis familiaris dingo) in the wet tropical rain forests of northeastern Australia 1. Biotropica, 33(2), 339-345."
