"","X","label","type","title","author","journal","abstract","year","doi","volume","language","issue","url","keywords","pages","notes","matches"
"1",1,"Phumanee_2021_GloEcoandCon","JOUR","Coexistence of large carnivore species in relation to their major prey in Thailand","Phumanee, W. and Steinmetz, R. and Phoonjampa, R. and Bejraburnin, T. and Bhumpakphan, N. and Savini, T.","Global Ecology and Conservation","Spatial and temporal partitioning often facilitates species coexistence. We used camera traps to study habitat use and spatio-temporal interactions among three large carnivores—tiger, leopard, and dhole—in two national parks in Thailand where key prey species (sambar, gaur) were scarce from overhunting. The availability of remnant sambar was the strongest determinant of tiger occupancy. Leopard occupancy was positively related to the presence of wild pig. Dhole occupancy was negatively associated with sambar, opposite to tiger. Results of two-species occupancy modeling did not support our hypothesis that leopard would be excluded from tiger-occupied zones, but leopard detectability was seven times lower in the presence of tigers, indicative of fine-scale avoidance. Dhole avoidance of sambar might have been a tactic by which dhole avoided tigers. All three carnivores were mainly diurnal and thus had high temporal overlap (&gt; 80%). Tiger density may have been too low (0.36/100 km2) to compel temporal avoidance by leopard and dhole where they overlapped. Our results suggest that low density populations of tigers and leopards can overlap in habitat use and temporal activity, despite the potential for intensified competition due to prey scarcity. Dholes were widespread despite scarcity of large ungulates, and seem more resilient to the loss of large-bodied prey than tigers. MWKL has an important role in conserving dholes, which are declining globally. © 2021",2021,"10.1016/j.gecco.2021.e01930","32","english",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119908305&doi=10.1016%2fj.gecco.2021.e01930&partnerID=40&md5=db437c9ae1da12f4dd743f4e3f68ebd2","Activity pattern and Camera trap survey and Co-occurrence and Competition and Occupancy and Spatio-temporal interactions",NA,NA,1
"2",2,"Liu_2021_GloEcoandCon","JOUR","What factors relate with the activity synchronization intensity among big cats and their ungulate prey in Northeast China?","Liu, S. and Qi, J. and Gu, J. and Long, Z. and Ma, J. and Jiang, G.","Global Ecology and Conservation","The activity synchronization rhythm is an important aspect of measuring interspecific interactions between predators and prey, and crucial for large carnivores conservation. However, little is known about what factors relate their activity synchronization dynamics. With the climate change and human society development, the spatial-temporal distribution and activity synchronized rhythm of large carnivores and their prey would inevitably be affected, which would further affect the adaptability of large carnivores and bring new challenges to their conservation. In this study, we hypothesized the ambient temperature and human activity would influence the activity synchronization intensity among Amur tiger, Amur leopard and ungulates (roe deer, sika deer and wild boar) through cross-correlation function and temporal niche overlap model based on the camera traps data. The result show that the activity rhythms of the five target species showed species and seasonal differences, the temporal niche overlaps between ungulates were normally higher than that between the cats and prey, the weakest overlap was observed between the two big cat species, and time-lags of similar rhythmic activity can reduce the temporal overlap pressures of species. Furthermore, we found that ambient temperature relate interspecific synchrony of roe deer-sika deer and roe deer-wild boar pairs at the daily scale. And at hourly scale, temperature and human activities exerted significantly positive or negative stresses on the interspecific activity synchronization of all target species, observed in all three seasons. Our study provides new insights on our understanding of the mechanisms by which sympatric predators and ungulate prey coexist and interact in view of temporal niche overlap, as well as how wildlife managers can manage the mammal assembly effectively. As the Amur tiger and leopard populations in China are being recovered quickly, the rapidly increasing predation pressure and limited environmental resources could have profound implications for the interaction and coexistence among these two large carnivores and their ungulate prey. Managers should strengthen the monitoring, and understand its causes and consequences, so as to develop effective protective measures. © 2021",2021,"10.1016/j.gecco.2021.e01899","32","english",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118491330&doi=10.1016%2fj.gecco.2021.e01899&partnerID=40&md5=0edfb348315b46e38e05c7a051458515","Activity rhythm and Amur leopard and Amur tiger and Camera traps and Coexistence and Human activity and Synchronization intensity",NA,NA,2
"3",3,"Henderson_2021_JoofZo","JOUR","Spatial and temporal interactions between endangered spotted-tailed quolls and introduced red foxes in a fragmented landscape","Henderson, T. and Fancourt, B.A. and Rajaratnam, R. and Vernes, K. and Ballard, G.","Journal of Zoology","Habitat fragmentation can have detrimental impacts on native predators globally through the loss of habitat and associated impacts from introduced predators. The endangered spotted-tailed quoll (Dasyurus maculatus) is the largest marsupial carnivore on mainland Australia and is sympatric with an introduced predator, the red fox (Vulpes vulpes). Spotted-tailed quolls are considered a forest-dependent species and are often associated with large, intact forested habitats where abundance of prey is high and competition with foxes is low. Spotted-tailed quolls are known to persist in some fragmented habitats in sympatry with foxes; however, the mechanisms facilitating this coexistence are unclear. For 15 months in 2018–19, we used camera traps to investigate whether coexistence between quolls and foxes in a fragmented landscape was facilitated by spatial and/or temporal separation of activity. We found no evidence of spatial separation, with quolls detected on the majority of cameras where foxes were detected. There was considerable temporal overlap between quolls and foxes (Δ1 = 0.71–0.81) and no evidence that fox presence influenced the temporal activity of quolls (Δ1 = 0.76–0.80). Furthermore, there was no evidence of within-night spatiotemporal avoidance between quolls and foxes (R2 &lt; 0.01). Our findings suggest that quolls do not offset their spatial and temporal activity to avoid foxes in this fragmented landscape. The spatial and temporal sympatry between quolls and foxes is possibly facilitated by low fox density at this site, suggested by low fox detections. The lack of separation between quoll and fox activity could also explain why quolls become locally extinct in other fragmented landscapes because quolls may not modify their activity to avoid foxes. Future research should focus on investigating quoll and fox interactions along a gradient of fox densities and assess if higher fox densities influence spatial and temporal coexistence with quolls in fragmented landscapes. © 2021 The Zoological Society of London",2021,"10.1111/jzo.12919","315","english","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111708760&doi=10.1111%2fjzo.12919&partnerID=40&md5=05758c70ad8465729a6b15125a24daff","activity patterns and camera traps and Dasyurus maculatus and habitat fragmentation and mesopredator and species coexistence and Vulpes and Dasyurus and Dasyurus maculatus and Metatheria and Vulpes and Vulpes vulpes","276-287",NA,3
"4",4,"Ferreiro.Arias_2021_EcoandEvo","JOUR","Fine-scale coexistence between Mediterranean mesocarnivores is mediated by spatial, temporal, and trophic resource partitioning","Ferreiro-Arias, I. and Isla, J. and Jordano, P. and Benítez-López, A.","Ecology and Evolution","The partition of the ecological niche can enhance the coexistence of predators due to differences in how they exploit three main resources: food, space, and time, the latter being an axis that often remains unexplored. We studied niche segregation in a Mediterranean mesocarnivore community composed by Vulpes vulpes, Genetta genetta, Meles meles, and Herpestes ichneumon, addressing simultaneously different niche axes: the temporal, trophic, and spatial axes. We assessed temporal segregation between mesopredators and prey and between potential competitors, using camera trap data between 2018 and 2020 in a Mediterranean landscape in Southern Spain. We deployed camera traps in 35 stations in three sites with varying vegetation cover within Doñana National Park. We further examined the spatial overlap in activity centers and trophic preferences between potential competitors using diet information from studies performed in the study area. We found an overall temporal segregation between trophic generalist species, with species showing higher temporal overlap differing in their trophic preferences and/or showing limited spatial overlap. Furthermore, we observed an overall high overlap between the activity patterns of predators and their major prey in the area (the common genet vs. small mammals and the red fox vs. European rabbit). Our study suggests that coexistence of the different species that compose the mesocarnivore assemblage in Mediterranean landscapes can be facilitated by subtle differences along the three main niche axes, with temporal segregation being a most pronounced mechanism. Our findings reinforce the idea that the coexistence mechanisms underlying community structure are multidimensional. © 2021 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",2021,"10.1002/ece3.8077","11","english","22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118662346&doi=10.1002%2fece3.8077&partnerID=40&md5=27afc076d36e80e4642c1e732c787522","Doñana and Genetta genetta and Herpestes ichneumon and interspecific competition and Meles meles and spatio-temporal segregation and trophic overlap and Vulpes vulpes","15520-15533",NA,4
"5",5,"Schooley_2021_JoofArEn","JOUR","Shrub encroachment, landscape restoration, and intraguild predation","Schooley, R.L. and Bestelmeyer, B.T. and Wagnon, C.J. and Coffman, J.M.","Journal of Arid Environments","Shrub encroachment into arid grasslands occurs globally with the potential to affect vertebrates and their interactions. In the Chihuahuan Desert of southern New Mexico, shrub encroachment has prompted intensive efforts by land management agencies to remove shrubs and restore historical grassland habitats. We asked if restoration actions involving shrub removal affected dynamics of intraguild predation (IGP) including an IGP predator (coyote, Canis latrans), an IGP prey (kit fox, Vulpes macrotis), plus their shared lagomorph prey. We used camera traps on 14 sites with paired treated and untreated areas to examine spatial and temporal niche partitioning of coyotes and kit foxes. Shrub removal did not produce straightforward effects on abundances of coyotes, kit foxes, or their prey resources. Instead, abundances of kit foxes were constrained when coyote abundance reached a threshold. Below this threshold, kit foxes were more common on areas with low shrub cover, possibly due to lack of hiding cover for lagomorph prey that increased their predation risk. Our system included two alternative states: IGP predator dominated and coexistence of IGP predator and prey. Coexistence may have been facilitated by temporal niche partitioning as diel activity patterns differed for coyotes and kit foxes. Future research on intraguild predation should integrate spatial and temporal niches to understand species coexistence including on dynamic landscapes undergoing restoration. © 2021 Elsevier Ltd",2021,"10.1016/j.jaridenv.2021.104588","193","english",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109488635&doi=10.1016%2fj.jaridenv.2021.104588&partnerID=40&md5=86c2e60e395c9657882ee4a05eb3c0a0","Canis latrans and Chihuahuan Desert and Diel activity and Intraguild predation and Shrub encroachment and Vulpes macrotis and canid and coexistence and environmental restoration and grassland and intraguild predation and lagomorph and land management and landscape planning and niche and niche partitioning and removal experiment and shrub and Chihuahuan Desert and New Mexico and United States and Canis latrans and Lagomorpha and Vertebrata and Vulpes and Vulpes macrotis",NA,NA,5
"6",6,"Salvatori_2021_BiolCons","JOUR","Co-occurrence of snow leopard, wolf and Siberian ibex under livestock encroachment into protected areas across the Mongolian Altai","Salvatori, M. and Tenan, S. and Oberosler, V. and Augugliaro, C. and Christe, P. and Groff, C. and Krofel, M. and Zimmermann, F. and Rovero, F.","Biological Conservation","In countries such as Mongolia, where globalization of the cashmere market has spurred herders to massively increase their livestock numbers, an important conservation concern is the effect of livestock encroachment on wildlife. This is especially important inside protected areas (PAs), which often represent the last refugia for threatened large mammals. We used camera-traps to sample four areas with different protection status across the Mongolian Altai Mountains, and targeted a predator-prey system composed of livestock, one large herbivore, the Siberian ibex, and two large carnivores, the snow leopard and the wolf. To determine the effect of livestock on habitat use by the wild species and their spatio-temporal co-occurrence we applied an occupancy framework explicitly developed for modelling interacting species. We recorded a widespread presence of domestic animals in the PAs, and observed avoidance of sites used by livestock by snow leopard and ibex, while wolves tended to co-occur with it. Snow leopard and ibex showed clear mutual co-occurrence, indicating a tight predator-prey relationship. Results provide evidence that, at the scale of sites sampled primarily to maximise snow leopard detections, grazing livestock interferes with wild species by inducing avoidance in snow leopards, and attraction in wolves. We suggest that (1) PAs management should enforce real grazing limitations on the ground, especially in the core areas of the parks; (2) new policies incorporating wildlife conservation into government subsidies to pastoralists should be envisaged, to prevent increasing displacement of snow leopards and ibex; (3) as wolves co-occurred with livestock, with the potential for human-wildlife conflicts, we encourage the use of a set of prevention techniques to mitigate livestock depredation. © 2021 Elsevier Ltd",2021,"10.1016/j.biocon.2021.109294","261","english",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112804332&doi=10.1016%2fj.biocon.2021.109294&partnerID=40&md5=8bf2a1b46f65a83f5fcadee04ad7270c","Activity pattern and Camera-trapping and Canis lupus and Capra sibirica and Human-wildlife conflicts and Occupancy and Panthera uncia and canid and ecological modeling and felid and habitat use and livestock and livestock farming and nature conservation and occupational exposure and predator-prey interaction and protected area and species occurrence and wild population and Canidae and Canis lupus and Capra sibirica and Mammalia and Uncia uncia",NA,NA,6
"7",7,"Torretta_2021_BMCecoandevo","JOUR","Niche partitioning between sympatric wild canids: the case of the golden jackal (Canis aureus) and the red fox (Vulpes vulpes) in north-eastern Italy","Torretta, E. and Riboldi, L. and Costa, E. and Delfoco, C. and Frignani, E. and Meriggi, A.","BMC ecology and evolution","BACKGROUND: Two coexisting species with similar ecological requirements avoid or reduce competition by changing the extent of their use of a given resource. Numerous coexistence mechanisms have been proposed, but species interactions can also be aggressive; thus, generally a subordinate species modifies its realized niche to limit the probability of direct encounters with the dominant species. We studied niche partitioning between two sympatric wild canids in north-eastern Italy: the golden jackal and the red fox, which, based on competition theories, have a high potential for competition. We considered four main niche dimensions: space, habitat, time, and diet. RESULTS: We investigated three study areas monitoring target species populations from March 2017 to November 2018 using non-invasive monitoring techniques. Red fox presence was ascertained in every study area, while golden jackal presence was not ascertained in one study area, where we collected data regarding wolf presence. Considering the two target species, we observed partial diet partitioning based on prey size, with the golden jackal mainly feeding on wild ungulates and the red fox mainly feeding on small mammals. The two canids had an extensive temporal overlap along the diel cycle, having both predominant crepuscular and nocturnal activity patterns, but marked spatial partitioning and differential use of habitats. The golden jackal proved to be specialist concerning the habitat dimension, while the red fox resulted completely generalist: the former selected less human-modified habitats and avoided intensively cultivated lands, while the latter was present in all habitats, including intensively cultivated lands. CONCLUSIONS: The observed partitioning might be due partially to some ecological adaptations (e.g. specialist vs. generalist use of resources) and specific behaviours (e.g. cooperative vs. solitary hunting) and partially to the avoidance response of the red fox aimed at reducing the probability of direct encounters with the golden jackal.",2021,"10.1186/s12862-021-01860-3","21","english","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109009838&doi=10.1186%2fs12862-021-01860-3&partnerID=40&md5=313493d3a19c96acb151fbdae70ff627","Activity patterns and Camera trapping and Competition and Diet and Ecological Niche Factor Analysis (ENFA) and Interference and Niche overlap and Niche partitioning and Scat analysis and Utilization distributions and animal and fox and Italy and jackal and sympatry and wolf and Animals and Foxes and Italy and Jackals and Sympatry and Wolves","129",NA,7
"8",8,"Davis_2021_EcoandEvo","JOUR","Prey availability and intraguild competition regulate the spatiotemporal dynamics of a modified large carnivore guild","Davis, R.S. and Yarnell, R.W. and Gentle, L.K. and Uzal, A. and Mgoola, W.O. and Stone, E.L.","Ecology and Evolution","Effective conservation management requires an understanding of the spatiotemporal dynamics driving large carnivore density and resource partitioning. In African ecosystems, reduced prey populations and the loss of competing guild members, most notably lion (Panthera leo), are expected to increase the levels of competition between remaining carnivores. Consequently, intraguild relationships can be altered, potentially increasing the risk of further population decline. Kasungu National Park (KNP), Malawi, is an example of a conservation area that has experienced large-scale reductions in both carnivore and prey populations, leaving a resident large carnivore guild consisting of only leopard (Panthera pardus) and spotted hyena (Crocuta crocuta). Here, we quantify the spatiotemporal dynamics of these two species and their degree of association, using a combination of co-detection modeling, time-to-event analyses, and temporal activity patterns from camera trap data. The detection of leopard and spotted hyena was significantly associated with the detection of preferred prey and competing carnivores, increasing the likelihood of species interaction. Temporal analyses revealed sex-specific differences in temporal activity, with female leopard activity patterns significantly different to those of spotted hyena and male conspecifics. Heightened risk of interaction with interspecific competitors and male conspecifics may have resulted in female leopards adopting temporal avoidance strategies to facilitate coexistence. Female leopard behavioral adaptations increased overall activity levels and diurnal activity rates, with potential consequences for overall fitness and exposure to sources of mortality. As both species are currently found at low densities in KNP, increased risk of competitive interactions, which infer a reduction in fitness, could have significant implications for large carnivore demographics. The protection of remaining prey populations is necessary to mitigate interspecific competition and avoid further alterations to the large carnivore guild. © 2021 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",2021,"10.1002/ece3.7620","11","english","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105776024&doi=10.1002%2fece3.7620&partnerID=40&md5=1d4cf99dc53eac839a590827277f5f6f","activity patterns and camera traps and carnivore ecology and competition and niche segregation and predator dynamics","7890-7904",NA,8
"9",9,"Gil.S..nchez_2021_Zool","JOUR","Spatio-temporal ecology of a carnivore community in middle atlas, NW of Morocco","Gil-Sánchez, J.M. and Mañá-Varela, B. and Herrera-Sánchez, F.J. and Urios, V.","Zoology","In species that live in sympatry, some dimensions of their ecological niche can overlap, but coexistence is possible thanks to segregation strategies, being the differential use of space and time one of the most frequent. Through a pioneer study in North-West Africa based on a camera-trapping survey, we studied ecology features of a carnivores’ community in the Middle Atlas Mountains, Morocco. We focused on how species shared (or not) the territory and their activity patterns. Camera trapping detected five carnivorous species: African golden wolf (Canis lupaster), red fox (Vulpes vulpes), domestic dog (Canis lupus familiaris), genet (Genetta genetta) and African wildcat (Felis lybica lybica). Generalized Linear Models confirmed different habitat selection patterns between these species. The presence of a small protected area or prey availability apparently were not determinant factors in the abundance of these species. Spatial segregation patterns were observed between the red fox with the domestic dog and between the red fox with the genet. Kernel density estimates showed strong temporal segregation of red fox and African golden wolf with regard to domestic dog, and suggested avoidance mechanisms for the triad red fox, genet and African golden wolf. Despite the influence of interspecific competition in the assembly of the community, human pressure was apparently the most relevant factor related with the spatio-temporal segregation in this territory. © 2021 Elsevier GmbH",2021,"10.1016/j.zool.2021.125904","146","english",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102006793&doi=10.1016%2fj.zool.2021.125904&partnerID=40&md5=13085a2873a7af610830dd52ca556387","Camera-trapping and Carnivore Community and Habitat selection and North-West Africa and Protected areas and Spatio-temporal segregation and animal and animal dispersal and Carnivora and classification and ecosystem and Morocco and physiology and species difference and Animal Distribution and Animals and Carnivora and Ecosystem and Morocco and Species Specificity",NA,NA,9
"10",10,"Vissia_2021_JoofZo","JOUR","Co-occurrence of high densities of brown hyena and spotted hyena in central Tuli, Botswana","Vissia, S. and Wadhwa, R. and van Langevelde, F.","Journal of Zoology","Large carnivore populations are declining worldwide due to anthropogenic causes such as habitat loss and human expansion into wild areas. Competition between large carnivores can exacerbate this decline. While brown hyena Parahyaena brunnea and spotted hyena Crocuta crocuta belong to the same family, they are rarely found in the same area or co-occur at low densities as spotted hyena are known to exclude brown hyena. In Central Tuli, Botswana, however, brown hyena and spotted hyena are both found at high densities. We undertook a camera trap survey in this area to estimate the densities of both species, and to examine temporal overlap and co-detection patterns of brown and spotted hyena. Estimated population densities based on spatial capture–recapture models were 10.5 ± 1.9/100 km2 for brown hyena and 14.9 ± 2.2/100 km2 for spotted hyena. These population densities are among the highest reported estimates in southern Africa. Strong temporal overlap was found between brown and spotted hyena, while there was no decrease in detection rate of brown hyena at camera sites where spotted hyena were also detected, which indicates that both hyena species did not tend to avoid encounters. Although both species compete for the same prey, we suggest as possible explanations that prey densities are high and that competition does not significantly negatively impact brown hyena, because brown hyena is a scavenger whereas spotted hyena scavenge and kill prey. With the found high densities of both carnivores, this study adds to the known variation in composition of existing large carnivore communities and suggests testable explanations for these densities. © 2021 The Authors. Journal of Zoology published by John Wiley & Sons Ltd on behalf of Zoological Society of London.",2021,"10.1111/jzo.12873","314","english","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100845879&doi=10.1111%2fjzo.12873&partnerID=40&md5=5592c3c272db814c09405f970767e31e","brown hyena and camera trap and co-detection and competition and large carnivores and population density and spotted hyena and temporal activity and anthropogenic effect and canid and carnivore and encounter rate and habitat loss and mark-recapture method and population decline and population density and population estimation and species occurrence and Botswana and Crocuta crocuta and Parahyaena brunnea","143-150",NA,10
